word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
beat,8,3,5,0.375,0.625,2.323317816335167,0.9969492264109827
dal,9,1,2,0.1111111111111111,0.2222222222222222,0.6883904640993087,0.3544708360572383
dca,62,10,42,0.16129032258064516,0.6774193548387096,0.9992764801441578,1.0805643228196458
tried,132,7,119,0.05303030303030303,0.9015151515151515,0.32854999422921555,1.4380237326412963
check,250,17,173,0.068,0.692,0.421294964028777,1.10382218348224
heyyyy,1,0,1,0.0,1.0,0.0,1.5951187622575724
someone,211,7,175,0.03317535545023697,0.8293838862559242,0.20553838501543342,1.322965798080925
call,437,13,394,0.029748283752860413,0.9016018306636155,0.18430591372910554,1.4381619961773078
hold,551,6,523,0.010889292196007259,0.9491833030852994,0.06746476417670176,1.514060095572977
earlier,77,13,41,0.16883116883116883,0.5324675324675324,1.0459958999950536,0.8493489513319541
congrats,9,4,3,0.4444444444444444,0.3333333333333333,2.753561856397235,0.5317062540858575
winning,5,1,2,0.2,0.4,1.2391028353787559,0.638047504903029
award,40,4,20,0.1,0.5,0.6195514176893779,0.7975593811287862
deals,17,5,0,0.29411764705882354,0.0,1.8222100520275821,0.0
everything,43,18,17,0.4186046511627907,0.3953488372093023,2.5934710507927448,0.6306283478692728
fine,19,1,17,0.05263157894736842,0.8947368421052632,0.3260796935207252,1.4272115241251964
lost,224,14,203,0.0625,0.90625,0.3872196360558612,1.445576378295925
bag,354,24,296,0.06779661016949153,0.8361581920903954,0.4200348594504257,1.333771620418761
change,283,16,188,0.05653710247349823,0.6643109540636042,0.35027641989505465,1.0596548668000834
credit,98,3,72,0.030612244897959183,0.7346938775510204,0.18965859725185036,1.1719239885974002
modify,3,0,2,0.0,0.6666666666666666,0.0,1.063412508171715
waive,11,0,8,0.0,0.7272727272727273,0.0,1.1600863725509618
customer,707,108,572,0.15275813295615276,0.809052333804809,0.9464151783656691,1.2905345573003273
service,687,103,541,0.14992721979621543,0.7874818049490538,0.9288762157497222,1.2561270020106938
tracking,16,1,13,0.0625,0.8125,0.3872196360558612,1.2960339943342776
hi,44,3,13,0.06818181818181818,0.29545454545454547,0.4224214211518485,0.47128508884882825
booked,158,10,105,0.06329113924050633,0.6645569620253164,0.3921211504363151,1.0600472787154753
awesome,62,49,9,0.7903225806451613,0.14516129032258066,4.896454752706373,0.23154949774706698
loft,1,0,1,0.0,1.0,0.0,1.5951187622575724
needs,76,3,57,0.039473684210526314,0.75,0.2445597701405439,1.1963390716931792
step,16,0,14,0.0,0.875,0.0,1.395728916975376
dirty,9,0,9,0.0,1.0,0.0,1.5951187622575724
tables,2,0,2,0.0,1.0,0.0,1.5951187622575724
ride,21,5,12,0.23809523809523808,0.5714285714285714,1.4751224230699473,0.9114964355757557
plane,484,37,407,0.07644628099173553,0.8409090909090909,0.47362401765510287,1.3413498682620495
airlines,105,16,75,0.1523809523809524,0.7142857142857143,0.9440783507647663,1.1393705444696947
like,421,60,286,0.14251781472684086,0.6793349168646081,0.8829711416000635,1.0836198717474246
yall,29,6,15,0.20689655172413793,0.5172413793103449,1.2818305193573336,0.8250614287539169
sat,47,2,43,0.0425531914893617,0.9148936170212766,0.2636389011444161,1.4593639739803321
correct,24,3,17,0.125,0.7083333333333334,0.7744392721117224,1.1298757899324472
bill,6,2,3,0.3333333333333333,0.5,2.065171392297926,0.7975593811287862
watch,27,3,17,0.1111111111111111,0.6296296296296297,0.6883904640993087,1.0043340354955086
student,7,1,2,0.14285714285714285,0.2857142857142857,0.8850734538419683,0.45574821778787783
films,2,1,0,0.5,0.0,3.0977570884468895,0.0
different,85,3,70,0.03529411764705882,0.8235294117647058,0.21866520624330985,1.3136272159768243
media,26,9,12,0.34615384615384615,0.46153846153846156,2.144601061232462,0.736208659503495
thanks,705,397,234,0.5631205673758866,0.33191489361702126,3.4888214584777737,0.5294436742812367
going,317,18,247,0.056782334384858045,0.7791798107255521,0.3517957576785111,1.2428843352606322
anyway,16,2,10,0.125,0.625,0.7744392721117224,0.9969492264109827
speak,94,5,85,0.05319148936170213,0.9042553191489362,0.32954862643052013,1.4423946254456772
human,36,1,35,0.027777777777777776,0.9722222222222222,0.17209761602482718,1.5508099077504176
thank,598,452,78,0.7558528428093646,0.13043478260869565,4.682897003270884,0.20805896899011814
supp,1,0,1,0.0,1.0,0.0,1.5951187622575724
biz,10,3,7,0.3,0.7,1.8586542530681336,1.1165831335803007
traveler,17,1,10,0.058823529411764705,0.5882352941176471,0.3644420104055164,0.9383051542691603
member,38,6,28,0.15789473684210525,0.7368421052631579,0.9782390805621756,1.1753506669266323
crew,174,52,113,0.2988505747126437,0.6494252873563219,1.8515329724050376,1.0359104605465845
whenever,10,3,5,0.3,0.5,1.8586542530681336,0.7975593811287862
delayed,418,13,391,0.03110047846889952,0.9354066985645934,0.1926834552622467,1.4920847752217963
late,422,19,374,0.045023696682464455,0.8862559241706162,0.27894495109237394,1.4136834528064741
interesting,6,0,6,0.0,1.0,0.0,1.5951187622575724
cancelled,1047,37,912,0.03533906399235912,0.8710601719197708,0.2189436719628174,1.389444423284533
four,30,1,28,0.03333333333333333,0.9333333333333333,0.20651713922979262,1.488777511440401
disappointing,12,0,12,0.0,1.0,0.0,1.5951187622575724
shared,5,0,5,0.0,1.0,0.0,1.5951187622575724
business,88,9,65,0.10227272727272728,0.7386363636363636,0.6336321317277729,1.1782127221220706
trouble,21,0,16,0.0,0.7619047619047619,0.0,1.2153285807676741
wife,69,7,56,0.10144927536231885,0.8115942028985508,0.6285304237428472,1.2945891403829575
bring,46,5,20,0.10869565217391304,0.43478260869565216,0.6734254540101933,0.6935298966337271
reservation,107,3,77,0.028037383177570093,0.719626168224299,0.17370600495963864,1.1478892027461034
using,62,4,40,0.06451612903225806,0.6451612903225806,0.3997105920576631,1.0291088788758531
code,20,2,10,0.1,0.5,0.6195514176893779,0.7975593811287862
random,4,0,3,0.0,0.75,0.0,1.1963390716931792
distribution,2,0,0,0.0,0.0,0.0,0.0
bet,11,0,6,0.0,0.5454545454545454,0.0,0.8700647794132212
kitty,1,0,0,0.0,0.0,0.0,0.0
disproportionate,1,0,0,0.0,0.0,0.0,0.0
share,32,5,14,0.15625,0.4375,0.9680490901396529,0.697864458487688
life,29,5,16,0.1724137931034483,0.5517241379310345,1.0681920994644447,0.8800655240041779
happens,30,0,21,0.0,0.7,0.0,1.1165831335803007
jperhi,1,0,0,0.0,0.0,0.0,0.0
home,203,39,128,0.1921182266009852,0.6305418719211823,1.1902711965460953,1.005789170290489
back,418,54,304,0.1291866028708134,0.7272727272727273,0.800377429550871,1.1600863725509618
points,39,2,21,0.05128205128205128,0.5384615384615384,0.3177186757381425,0.8589101027540774
account,38,1,30,0.02631578947368421,0.7894736842105263,0.1630398467603626,1.2593042859928203
recent,12,2,6,0.16666666666666666,0.5,1.032585696148963,0.7975593811287862
tv,31,4,24,0.12903225806451613,0.7741935483870968,0.7994211841153263,1.2349306546510237
video,17,5,10,0.29411764705882354,0.5882352941176471,1.8222100520275821,0.9383051542691603
disappointed,58,0,55,0.0,0.9482758620689655,0.0,1.5126126193821807
flightled,357,7,319,0.0196078431372549,0.8935574229691877,0.12148067013517214,1.4253302105326768
went,66,11,46,0.16666666666666666,0.696969696969697,1.032585696148963,1.1117494403613384
